competency_cluster,lt_id,lt_name,stability,coconstruction_stages,coconstruction_student_prompts,coconstruction_anchor_examples_guidance,student_rubric_no_evidence,student_rubric_emerging,student_rubric_developing,student_rubric_competent,student_rubric_extending,student_rubric_self_checks,feedback_moves_no_evidence,feedback_moves_emerging,feedback_moves_developing,feedback_moves_competent
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_01,Sexual Health Knowledge and Prevention,supporting_unstable,Brainstorm what students already know about sexual health topics and prevention methods.; Discuss what makes sexual health information accurate versus incomplete or unclear.; Identify different levels of understanding from basic awareness to comprehensive knowledge.; Create criteria for what complete sexual health knowledge should include.,What sexual health topics do you think are important for people our age to understand?; How can you tell if sexual health information is complete and accurate?; What would it look like to have a basic understanding versus a thorough understanding of these topics?,Select student work samples that show clear differences in completeness and accuracy of sexual health knowledge across the five levels.,I have not yet attempted to describe sexual health knowledge.,I can name some contraceptive or STI prevention methods with help but may have some inaccuracies.,I can describe some contraceptive options and STI prevention methods on my own but my understanding is not complete.,"I can accurately describe contraceptive options, pregnancy choices, STI prevention methods, and explain why testing is important.",I can compare how effective different methods are and explain how personal circumstances affect health choices.,"Can I accurately explain all four main areas: contraceptives, pregnancy choices, STI prevention, and testing importance?; Am I able to describe these topics without help and with correct information?",Provide basic vocabulary and definitions for sexual health terms.; Start with one specific area like contraceptive methods to build initial understanding.,Check accuracy of current knowledge and correct misconceptions.; Provide reliable sources to verify and expand sexual health information.,Guide student to identify gaps in their current knowledge across all four topic areas.; Encourage research into areas they have not yet covered thoroughly.,Challenge student to research effectiveness rates and compare different methods.; Ask student to consider how individual factors might influence health decisions.
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_02,Sexual Health Service Navigation,supporting_unstable,Students brainstorm what sexual health services exist in their community.; Students research and share where these services can be found locally.; Students discuss what makes information medically accurate and trustworthy.; Students organize findings into quality levels from basic to comprehensive.,What sexual health services do you think people might need?; Where in our community could someone find these services?; How can you tell if health information is accurate and reliable?; What would make someone really good at finding sexual health resources?,Choose examples that show clear differences in completeness of resource identification and accuracy of location information.,I have not yet attempted to identify where sexual health services are located.,I can name some sexual health services with help but my location information needs work.,I can find some sexual health services and locations on my own but miss important resources.,"I can independently identify where to access sexual health services, support, and accurate information from multiple sources.",I can identify comprehensive sexual health resources and evaluate how accessible they are for different people.,Can I name specific places where someone could get sexual health services?; Do I know how to find medically accurate information about sexual health?,Provide a list of local sexual health service types to get started.; Guide student to identify one specific service location in their area.,Help student verify location accuracy using official websites or directories.; Prompt student to identify additional service types they may have missed.,Challenge student to find services beyond the most obvious ones.; Guide student to identify multiple ways to access the same type of service.,Ask student to consider accessibility barriers for different populations.; Prompt student to evaluate the quality and reliability of their information sources.
"cluster_15: Contraception, Pregnancy Options, and Sexual Health",cluster_15_lt_03,Sexual Health Information Evaluation,stable,Students brainstorm where they currently get health information and discuss what makes sources trustworthy.; Students examine sample sexual health sources and identify quality indicators together.; Students practice evaluating sources using agreed criteria and discuss how to share reliable information with peers.; Students refine evaluation criteria and create strategies for helping others find trustworthy sources.,What makes a health information source trustworthy versus unreliable?; How can you tell if sexual health information is accurate and up-to-date?; What would you say to help a friend find reliable sexual health information?,"Select sexual health sources representing different reliability levels including peer-reviewed medical sites, government health agencies, and questionable social media content.",I have not yet attempted to evaluate sexual health information sources.,I can identify some sexual health information sources with support but cannot evaluate their reliability.,I can independently identify reliable sexual health sources but struggle to evaluate their quality or help others find good sources.,I can independently evaluate sexual health information for reliability and effectively help others find trustworthy sources for decision-making.,I can critically evaluate complex sexual health information and adapt my guidance strategies for different audiences.,Can I explain why this sexual health source is reliable or unreliable?; Would I feel confident directing someone else to this source for important health decisions?,Provide a simple checklist of source quality indicators to practice with.; Start with comparing two obviously different sources side-by-side.,Guide practice in applying reliability criteria to specific sexual health sources.; Provide sentence starters for explaining why sources are trustworthy or not.,Practice explaining source quality to peers using clear reasoning.; Focus on developing simple language for signposting others to reliable sources.,Challenge with complex or contradictory sources requiring deeper analysis.; Practice adapting signposting language for different audiences or situations.
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_01,Articulating Emotions and Feelings,supporting_unstable,Brainstorm emotion words students already know and use daily; Discuss what makes students feel good or bad about themselves; Explore how different situations affect our feelings; Create shared language for describing emotions clearly; Connect emotion words to wellbeing influences through examples,What words do you use when you're feeling really happy or really upset?; What things in your life make you feel good about yourself?; How do you know when your emotions are changing?; What helps you explain your feelings to others?,Choose student work samples that show clear progression from basic emotion naming to sophisticated emotional analysis with wellbeing connections.,I have not yet attempted to describe my emotions or what affects my wellbeing.,I can name basic emotions with help but my explanations are unclear or incorrect.,I can describe my emotions using simple words but struggle to explain what influences my wellbeing clearly.,I can accurately describe my emotions using appropriate vocabulary and explain what influences my wellbeing independently.,I can articulate complex emotional states and analyse multiple interconnected wellbeing influences with sophistication.,Can I use specific emotion words that accurately match how I feel?; Can I explain what things in my life affect my wellbeing and how they connect?,Provide emotion word cards or charts as starting points; Ask simple questions about current feelings,Model accurate emotion vocabulary in context; Guide students to connect feelings with specific situations,Introduce more precise emotion vocabulary; Help students identify specific wellbeing influences through questioning,Challenge students to explore emotional complexity; Encourage analysis of how multiple wellbeing factors interact
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_02,Distinguishing Normal Feelings from Mental Health Conditions,stable,Brainstorm what normal feelings look like in daily life; Discuss what makes some emotional experiences different or concerning; Compare examples to identify key distinguishing features; Test understanding with new scenarios,What emotions do you experience regularly that feel normal to you?; When might the same emotion become something to be concerned about?; What patterns help us tell the difference between typical feelings and mental health conditions?,"Select clear examples of normal emotional responses alongside obvious mental health presentations, then include borderline cases that challenge student thinking.",I have not yet attempted to tell the difference between normal feelings and mental health conditions.,I can identify some differences with help but sometimes mix up normal feelings with conditions.,I can recognize some differences on my own but find complex examples challenging.,I can accurately identify clear differences between normal emotional experiences and mental health conditions.,I can apply these skills to new situations and explain subtle differences between overlapping cases.,Can I explain what makes this a normal feeling versus a mental health condition?; Am I able to identify the key differences without help?,Provide concrete examples of normal emotions in familiar contexts; Guide student to notice differences through questioning,Clarify specific misconceptions about normal versus concerning emotional experiences; Offer structured comparison frameworks,Present borderline cases with guided analysis; Help identify patterns that distinguish conditions from normal responses,Introduce novel scenarios requiring application of distinction skills; Challenge with nuanced cases that have overlapping features
cluster_16: Emotional Wellbeing and Mental Health Literacy,cluster_16_lt_03,Recognising Wellbeing Enhancement Strategies,stable,"Students brainstorm activities that make them feel good and discuss why; Teacher guides students to group activities into participation, kindness, and barrier-overcoming categories; Students explore what barriers might prevent people from doing wellbeing activities; Class develops language for explaining how each strategy type contributes to mental wellbeing","What activities help you feel mentally strong and happy?; How do these activities connect to helping others, joining in, or pushing through challenges?; What might stop someone from doing these wellbeing activities and how could they overcome those barriers?",Choose student work that shows clear progression from listing activities to explaining wellbeing connections to addressing barriers.,I have not yet attempted to explain how activities help mental wellbeing,I can identify some activities that help wellbeing with support,I can explain how some activities help wellbeing but miss important connections or barriers,"I can explain how participation, kindness, and overcoming barriers to activities contribute to mental wellbeing",I can connect wellbeing strategies to broader mental health ideas or apply my understanding to new situations,Have I explained how all three strategies contribute to mental wellbeing?; Can I give specific examples of how overcoming barriers helps mental health?,Provide sentence starters about activities that make people feel good; Use visual prompts showing people engaged in different wellbeing activities,Ask students to explain why their identified activities might help someone feel better; Guide students to think about the mental benefits of their chosen activities,Prompt students to consider what might prevent someone from doing these activities; Help students make explicit connections between activity types and mental wellbeing,Challenge students to think about how these strategies might work in different contexts; Ask students to connect their understanding to broader mental health concepts
"cluster_17: Substances, Gambling, and Mental Health",cluster_17_lt_01,Gambling Mental Health Impacts,supporting_unstable,Students share what they already know about gambling and mental health connections; Class discusses different types of gambling products and their characteristics; Groups identify specific mental health impacts from gambling scenarios; Students rank gambling products by risk level with justification; Class finalizes rubric levels based on their discoveries,What mental health changes might someone experience from gambling?; Which gambling activities seem most risky and why?; How do different gambling products affect people differently?; What patterns do you notice between gambling frequency and mental health impacts?,Select student work samples that clearly show different levels of understanding about mental health impacts and risk assessment of various gambling products.,I have not yet identified how gambling affects mental health.,I can name some gambling effects with help but my information needs correction.,I can identify basic gambling mental health impacts but miss important risk factors.,I can identify how gambling affects mental health and explain which products pose greater risks.,I can connect gambling mental health impacts to broader addiction patterns and protective factors.,Can I explain specific ways gambling changes mental health?; Can I compare the risks of different gambling products with reasons?,Provide examples of mental health changes from gambling stories; Guide student to identify one clear gambling impact,Correct misconceptions with accurate information; Focus on one specific mental health impact to build understanding,Highlight missing risk factors in their analysis; Ask student to compare two different gambling products,Challenge student to identify broader addiction patterns; Prompt exploration of protective factors that reduce gambling harm
"cluster_17: Substances, Gambling, and Mental Health",cluster_17_lt_02,Substance Use Mental Health Relationships,supporting_unstable,Students share what they already know about substance use and mental health connections; Guide students to identify examples where substance use affects mental health; Help students discover examples where mental health problems lead to substance use; Students articulate the two-way relationship using their examples; Students practice applying this bidirectional understanding to new scenarios,What connections do you see between substance use and mental health?; Can you think of ways that using substances might affect someone's mental health?; Can you think of ways that mental health struggles might lead someone to use substances?; How would you explain this two-way relationship to a friend?,Choose clear scenarios that demonstrate both directions of influence without being overly complex or triggering for students.,I have not yet attempted to explain connections between substance use and mental health,I can identify that substance use and mental health are connected with support,I can explain how substance use affects mental health,I can explain how substance use and mental health problems influence each other in both directions,I can analyze complex scenarios involving multiple bidirectional mental health relationships,Can I explain both how substance use affects mental health AND how mental health affects substance use?; Am I showing the two-way relationship clearly in my explanation?,Provide a simple example of substance use affecting mood; Ask what they notice about the connection between the two,Guide them to describe one specific way substance use changes mental health; Ask them to think about what might lead someone to use substances,Prompt them to consider what might cause someone to start using substances; Ask how mental health problems might influence substance use decisions,Challenge them to analyze a scenario with multiple mental health factors; Ask them to identify additional bidirectional relationships in complex situations
cluster_18: Online Wellbeing and Digital Literacy,cluster_18_lt_01,Understanding Digital Wellbeing Risks,supporting_unstable,"Students brainstorm what they know about screen time and online experiences affecting how they feel.; Teacher guides students to categorize risks into screen time, harmful content, and digital behaviors.; Students discuss and define what mental and physical wellbeing means in their own words.; Class collaboratively builds criteria for explaining risks clearly and completely.; Students test the rubric levels against sample explanations to refine understanding.","What have you noticed about how screen time or online activities affect your mood, sleep, or body?; How would you explain to a younger student what makes online content harmful?; What does a complete explanation of digital risks include?; How can we tell if someone really understands how digital behaviors impact wellbeing?",Select student explanations that show clear progression from basic risk identification to detailed wellbeing connections. Choose examples that represent different risk categories and varying levels of explanation depth.,I have not yet attempted to explain digital wellbeing risks.,I can identify some screen time or online risks with help but my explanations are incomplete.,I can identify digital risks on my own but my explanations lack detail about wellbeing impacts or miss key areas.,"I can independently explain how excessive screen time, harmful content, and digital behaviors negatively impact mental and physical wellbeing.",I can explain digital wellbeing risks and connect them to broader health patterns or prevention strategies.,Did I explain how all three risk areas affect both mental and physical wellbeing?; Can someone else understand my explanation without needing more information?,Provide sentence starters about screen time effects you have noticed.; Share one example of how online activities can affect mood or sleep.,Focus on one specific risk and practice explaining it completely before adding others.; Use the wellbeing categories to organize your thinking about impacts.,"Add specific details about how each risk affects mental wellbeing and physical wellbeing separately.; Check that you have addressed screen time, harmful content, and digital behaviors.",Consider how these digital risks connect to other health topics you know.; Think about what strategies could help prevent or reduce these risks.
cluster_18: Online Wellbeing and Digital Literacy,cluster_18_lt_03,Seeking Support for Online Harms,supporting_unstable,Students share experiences or knowledge about online problems they've seen or heard about; Class brainstorms what makes some online situations harmful or concerning; Students discuss where they might go for help with different online problems; Groups match different types of online harms to appropriate reporting or support options; Class creates criteria for choosing the best help option for different situations,What online situations might make someone feel unsafe or uncomfortable?; Where could someone go for help if they experienced something harmful online?; How would you decide which type of help is best for different online problems?,Choose examples that show clear differences in matching appropriate support to specific online harms and demonstrate varying levels of independence in identifying reporting options.,I have not yet identified any reporting mechanisms or support services for online harms,I can name some reporting options with help but get confused about which ones to choose,I can identify basic reporting mechanisms but struggle to match the right services to specific harmful situations,I can independently identify appropriate reporting mechanisms and support services when encountering harmful online content or behaviors,I can evaluate multiple reporting options and guide others toward appropriate support services for online harms,Can I explain which reporting option or support service would be best for a specific online harm?; Am I able to choose appropriate help without needing someone to guide me?,Provide examples of common online reporting buttons and help resources; Guide student to notice support options already available on platforms they use,Help student practice matching one type of online harm to its best reporting option; Provide simple decision-making steps for choosing between different support services,Practice scenarios where student explains why specific support services match particular online harms; Encourage student to consider multiple factors when choosing reporting mechanisms,Challenge student to compare effectiveness of different reporting options for complex situations; Ask student to explain their reasoning to help others understand appropriate choices
"cluster_19: Diet, Physical Health, and Disease Prevention",cluster_19_lt_01,Identifying Diet-Health Risk Connections,stable,Students brainstorm what they know about food and health connections.; Teacher guides students to sort connections into accurate and inaccurate categories.; Students identify the three main health risks from the learning target.; Class develops criteria for what makes a strong diet-health connection.; Students create performance levels from basic to advanced understanding.,What connections do you already know between food choices and health problems?; How can we tell if a diet-health connection is accurate and complete?; What would it look like to go beyond the basic connections we've identified?,Select student work that shows clear progression from vague connections to specific accurate links to extended biological explanations.,I have not yet attempted to identify connections between diet and health.,I can name some dietary choices but my health connections are not accurate.,I can identify some diet-health links but miss important connections or lack detail.,"I can accurately identify links between poor dietary choices and tooth decay, unhealthy weight gain, and cardiovascular disease.",I can connect dietary choices to additional health risks beyond the main three and explain how these connections work in the body.,Have I identified all three main health risks from poor diet choices?; Are my connections between specific foods and health problems accurate and detailed?,Provide examples of common foods and ask what health effects they might have.; Use visual aids showing diet-health connections to spark initial thinking.,Help student verify connections using reliable sources.; Guide student to focus on one specific diet-health link at a time.,Prompt student to check for all three required health risks.; Ask student to add more specific details about how dietary choices cause health problems.,Challenge student to identify additional health risks beyond the main three.; Ask student to explain the biological processes behind the connections they've made.
"cluster_19: Diet, Physical Health, and Disease Prevention",cluster_19_lt_02,Recognizing Weight-Related Disease Risks,supporting_unstable,Students brainstorm diseases they know about without mentioning weight connections.; Teacher introduces the concept that body weight can influence health risks.; Students work in pairs to match diseases with weight connections using provided health information.; Class discusses and refines their understanding of how unhealthy weight gain specifically increases disease risks.; Students create their own examples of weight-disease connections to test their understanding.,What diseases or health conditions have you heard about before?; How might someone's weight affect their overall health?; Which diseases do you think are most strongly connected to unhealthy weight gain?; What does it mean when we say weight 'increases the risk' of a disease?,Select student responses that show clear progression from naming diseases without weight connections to explaining specific mechanisms or identifying additional conditions beyond the core three.,I have not yet attempted to identify diseases related to weight gain.,I can name some diseases but I'm not sure how they connect to weight.,I can identify some diseases related to weight but my explanations need more detail.,"I can recognize that unhealthy weight gain increases risks of cancer, type 2 diabetes, and cardiovascular disease.",I can explain how weight causes these disease risks or identify additional weight-related health conditions.,Can I name the three main diseases linked to unhealthy weight gain?; Do I understand what 'increased risk' means when talking about weight and disease?,Provide a simple list of common diseases to start the thinking process.; Ask the student to think about what they know about healthy living.,Help the student focus on the specific connection between weight and disease risk.; Provide clear examples of how extra weight can affect the body.,Guide the student to name the three specific diseases mentioned in the learning target.; Ask the student to explain what 'increased risk' means in their own words.,Challenge the student to explain why weight affects these particular diseases.; Encourage the student to research additional weight-related health conditions.
"cluster_21: Infection Prevention, Dental Health, and Screening",cluster_21_lt_01,Understanding Infection Prevention and Treatment,supporting_unstable,"Students brainstorm what they already know about preventing and treating infections.; Teacher guides students to organize ideas into categories of prevention methods, treatments, and resistance.; Students discuss what makes explanations complete versus incomplete for each category.; Class collaboratively defines what comprehensive understanding looks like at each level.",What are all the ways we can prevent infections and treat them when they occur?; How would you know if someone really understands how antibiotics work versus just knowing they exist?; What would it look like to use infection knowledge to solve real-world health problems?,Select student explanations that clearly show progression from basic identification to detailed mechanisms to real-world application.,I have not yet attempted to explain how infections are prevented or treated.,I can identify some ways to prevent infections with help but my explanations need work.,I can explain basic infection prevention and treatment on my own but need more detail on resistance and immunisation.,"I can accurately explain infection treatment, prevention, antibiotics, vaccination, immunisation and antimicrobial resistance.",I can apply infection knowledge to evaluate health policies or solve new disease problems.,Can I explain how each prevention and treatment method actually works?; Could I use my infection knowledge to advise on a real health situation?,Provide basic infection examples and ask students to identify one prevention method.; Use visual aids showing infection transmission to spark initial thinking.,Ask students to explain why their identified prevention methods work.; Provide sentence starters to help structure more complete explanations.,Guide students to research specific mechanisms of immunisation and antimicrobial resistance.; Ask students to connect their basic knowledge to more complex processes.,Present novel disease scenarios and ask students to apply their comprehensive knowledge.; Challenge students to evaluate effectiveness of different prevention strategies.
"cluster_21: Infection Prevention, Dental Health, and Screening",cluster_21_lt_02,Understanding Health Maintenance Practices,supporting_unstable,Brainstorm what health maintenance practices students already know about.; Sort practices into categories and identify which ones relate to dental and oral health.; Discuss what makes a good description versus a basic list of practices.; Explore connections between daily habits and long-term health outcomes.,What health practices do you already do to take care of yourself?; How would you explain to a younger student why these practices matter?; What's the difference between knowing what to do and understanding why it helps?,Look for student work that shows clear progression from listing practices to explaining benefits to making broader health connections.,I have not yet described any health maintenance practices.,I can name some dental practices with help but my descriptions need work.,I can describe basic dental practices on my own.,"I can describe dental health practices, explain why oral hygiene helps, and explain why regular check-ups matter.",I can connect health maintenance practices to bigger health outcomes and prevention across different situations.,Can I explain not just what to do but why it matters for my health?; Have I included both daily practices and regular check-ups in my description?,Provide a simple list of dental practices to start with.; Ask what the student already does to take care of their teeth.,Help identify which descriptions are accurate and which need correction.; Provide sentence starters for clearer explanations.,Ask why each practice helps maintain health.; Prompt to include information about regular screenings and self-examination.,Challenge to think about how these practices connect to overall health.; Ask how these practices might apply in different life situations or age groups.
"cluster_22: Sleep, Reproductive Health, and Accessing Healthcare",cluster_22_lt_01,Understanding Sleep Hygiene and Health Impacts,supporting_unstable,Students brainstorm what they know about good sleep habits and share experiences.; Teacher guides discussion to identify key sleep hygiene practices from student contributions.; Students explore connections between sleep and how they feel physically and mentally.; Class organizes ideas into levels of understanding from basic identification to detailed explanations.,What sleep habits help you feel rested and healthy?; How does poor sleep affect your body and mind?; What would someone need to explain to show they really understand sleep and health?,Select student work samples that show clear progression from listing sleep practices to explaining detailed connections between sleep hygiene and specific physical and mental health outcomes.,I have not yet attempted to explain sleep practices or health impacts.,I can identify some sleep practices with help but my explanations are incomplete.,I can explain basic sleep hygiene practices but need more detail about health connections.,I can explain sleep hygiene practices clearly and describe how sleep affects physical and mental wellbeing.,I can connect sleep hygiene to broader health outcomes and evaluate individual sleep needs comprehensively.,Can I explain specific sleep practices and why they matter for health?; Do I describe connections between sleep and both physical and mental wellbeing?,Provide a simple sleep habit checklist to begin identifying practices.; Ask student to share one thing they do before bedtime.,Guide student to explain why one sleep practice helps health.; Provide sentence starters for connecting sleep habits to feeling better.,"Prompt student to add specific examples of physical and mental health impacts.; Ask how sleep affects energy, mood, and thinking.",Challenge student to consider how sleep needs vary by age or lifestyle.; Encourage exploration of long-term health consequences of sleep patterns.
"cluster_22: Sleep, Reproductive Health, and Accessing Healthcare",cluster_22_lt_02,Understanding Reproductive Health Fundamentals,stable,Brainstorm what reproductive health means and list key terms students already know; Sort terms into categories like pre-conception care and pregnancy support; Define quality criteria for complete descriptions of reproductive health concepts; Test criteria against sample student responses to refine expectations,What comes to mind when you hear reproductive health?; How would you group these concepts into meaningful categories?; What makes a description of reproductive health complete and accurate?,Select student work samples that show clear progression from basic term identification to comprehensive descriptions with connections to broader health outcomes.,I have not yet attempted to describe reproductive health aspects.,I can identify some reproductive health terms with support but my descriptions are not accurate.,I can describe basic reproductive health concepts but lack detail on pre-conception care or pregnancy support.,I can describe key aspects of reproductive health including pre-conception care and pregnancy support accurately and comprehensively.,I can connect reproductive health concepts to broader health outcomes and explain interrelated factors.,Have I included both pre-conception care and pregnancy support in my description?; Can I explain how reproductive health connects to overall wellness?,Provide basic reproductive health vocabulary cards to build foundation; Start with guided discussion about what health means in general,Correct misconceptions immediately with accurate information; Provide graphic organizers to structure thinking about reproductive health components,Prompt for specific details about pre-conception care practices; Ask for examples of pregnancy support services or interventions,Challenge to explain how reproductive health affects long-term family outcomes; Encourage exploration of social determinants that influence reproductive health
"cluster_23: Personal Safety, Risk Management, and Peer Influence",cluster_23_lt_01,Managing Personal Safety Risks,stable,Students share experiences where they felt unsafe or needed to make safety decisions; Groups brainstorm different types of risks they encounter in various environments; Class discusses what good risk management looks like and sounds like; Students create criteria for different levels of safety awareness and management skills,What are some situations where you've had to think about your safety?; How do you know when a situation might be risky?; What strategies help you stay safe in different places?,Choose examples that show clear differences in risk identification skills and management strategies across familiar and unfamiliar environments.,I have not yet shown that I can identify or manage safety risks,I can spot some obvious risks when someone helps me but need support to stay safe,I can identify common safety risks in places I know well but find it hard to manage them on my own,I can independently identify and manage personal safety risks in different environments using good strategies,I can apply my safety skills to new situations and help others become more safety aware,Can I spot potential risks in this environment without help?; Do I have strategies ready to manage the risks I've identified?,Point out one obvious risk in the current environment and ask what they notice; Model simple safety thinking by narrating your own risk assessment process,Ask them to identify one risk without your help first; Provide a choice between two safety strategies and discuss which might work better,Challenge them to identify risks in a less familiar environment; Have them practice explaining their safety strategy to someone else,Present a novel scenario and ask how they would adapt their safety approach; Ask them to mentor a peer who is still developing safety awareness
"cluster_23: Personal Safety, Risk Management, and Peer Influence",cluster_23_lt_02,Responding to Peer Influence and Conflict,supporting_unstable,Students share experiences of peer pressure without naming specific people; Class identifies common situations where peer influence occurs; Students brainstorm appropriate and inappropriate responses to peer pressure; Groups develop strategies for handling conflict with peers; Class agrees on what effective peer influence management looks like,What does peer pressure feel like and when might it happen?; How can you tell if someone is trying to influence your decisions?; What are some ways to respond when peers pressure you or when conflicts arise?,Choose scenarios that represent typical peer situations students face at their age level without identifying real individuals or creating embarrassing situations.,I have not yet shown that I can recognise or respond to peer influence and conflict.,I can identify some peer pressure situations with help but my responses need work.,I can recognise obvious peer influence and conflict but find it hard to respond well in difficult situations.,I can recognise peer influence and conflict situations and respond appropriately using effective strategies.,I can handle complex peer situations and help others navigate influence and conflict effectively.,Can I identify when someone is trying to influence my decisions?; Do I have strategies that work well when dealing with peer pressure or conflict?,Help student identify one simple peer pressure scenario from their experience; Provide clear examples of what peer influence looks like in everyday situations,Practice recognising peer pressure cues through role-play scenarios; Model appropriate response language and strategies for common situations,Rehearse responses to challenging peer situations through guided practice; Discuss why certain strategies work better in different contexts,Challenge student to apply skills in new or more complex peer scenarios; Encourage reflection on helping others with similar situations
"cluster_24: Weapons, Exploitation, and Seeking Help",cluster_24_lt_01,Understanding Weapon Misconceptions,stable,Introduce the concept of misconceptions and how they form about weapons; Explore together what students think they know about weapon prevalence; Examine how these beliefs might influence protection decisions; Define quality criteria for explaining the connection between misconceptions and protection beliefs,What do you think you know about how common weapons are and where did you learn this?; How might believing weapons are everywhere affect someone's choices about protection?; What would a clear explanation of this connection look like?,Select student work that shows clear progression from identifying misconceptions to explaining their impact on protection beliefs.,I have not yet attempted to address weapon misconceptions,I can identify some misconceptions with help but my explanations need work,I can identify weapon misconceptions on my own but struggle to explain how they create false protection beliefs,I can independently explain how misconceptions about weapon prevalence lead to false beliefs about needing protection,I can apply my understanding to analyse how weapon misconceptions influence broader safety decision-making,Can I clearly explain the connection between weapon misconceptions and protection beliefs?; Have I shown how false beliefs about weapon prevalence affect decision-making?,Start by identifying one common misconception about weapons; Think about where people get their ideas about weapon prevalence,Focus on explaining why the misconception is incorrect; Connect the misconception directly to protection decisions,Strengthen the link between misconceptions and false protection beliefs; Use specific examples to show how misconceptions influence thinking,Consider how these misconceptions affect other safety decisions beyond immediate protection; Analyse the broader impact of weapon misconceptions on community safety choices
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_01,Identifying Menstrual Health Conditions,supporting_unstable,Students brainstorm what they already know about menstrual health variations and concerns.; Teacher introduces key menstrual conditions and students sort them by familiarity.; Students examine condition descriptions and identify what makes a good characteristic description.; Class develops criteria for accurately identifying and describing menstrual health conditions.; Students test the rubric levels against sample condition descriptions.,What differences in menstrual experiences have you heard about or learned about?; Which of these conditions can you describe some characteristics for?; What makes this description of a condition clear and complete?; How would you know if someone accurately identified and described a menstrual condition?,"Select clear examples of condition descriptions at each level, focusing on accuracy and completeness of characteristics rather than complexity of conditions.",I have not yet attempted to identify menstrual health conditions.,I can name some menstrual conditions with support but my descriptions of characteristics are incomplete or inaccurate.,I can independently identify common menstrual conditions but my descriptions of characteristics have some gaps or inaccuracies.,I can independently identify common menstrual health conditions and accurately describe their key characteristics.,I can identify menstrual conditions and explain relationships between characteristics and underlying causes or treatments.,Can I name the condition correctly and describe its main characteristics accurately?; Do my descriptions include the key features that distinguish this condition from others?,Provide a list of common menstrual conditions to start with.; Offer guided practice identifying one condition with clear characteristics.,Focus on one condition at a time and verify characteristics together.; Provide reference materials with accurate condition descriptions.,Point out specific gaps or inaccuracies in characteristic descriptions.; Have student compare their descriptions with reliable medical sources.,Challenge student to explain why certain characteristics occur.; Ask student to connect characteristics to potential causes or treatment approaches.
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_02,Determining Healthcare Support Needs,stable,Students brainstorm what makes menstrual or reproductive health symptoms concerning versus normal.; Students discuss when they might need to talk to a healthcare provider about these concerns.; Students categorize different scenarios by urgency and type of support needed.; Students refine criteria for determining appropriate timing and level of healthcare support.,What symptoms would make you think 'this isn't normal'?; How do you decide if something needs immediate attention versus waiting?; What questions help you figure out if you need professional help?,Choose scenarios that clearly show different levels of symptom severity and decision-making complexity about seeking healthcare support.,I have not yet attempted to identify when healthcare support might be needed.,I can recognize some concerning symptoms with help but cannot decide what action to take.,I can identify obvious concerning symptoms but struggle to determine when professional healthcare support is needed.,I can independently determine when menstrual and reproductive health concerns require healthcare support and identify appropriate timing for seeking help.,I can evaluate complex symptom patterns and determine urgency levels for different healthcare support needs.,Can I explain why certain symptoms are concerning and what action to take?; Do I know when to seek immediate versus routine healthcare support?,Provide examples of common concerning symptoms to build awareness.; Guide student through one simple scenario of determining healthcare needs.,Help student practice identifying concerning symptoms independently.; Provide decision-making frameworks for determining appropriate actions.,Practice scenarios that require judgment about timing of healthcare support.; Discuss factors that influence when professional help is needed versus self-care.,Present complex multi-symptom scenarios requiring urgency assessment.; Challenge student to evaluate interconnected symptoms and their implications.
cluster_25: Menstrual and Reproductive Health,cluster_25_lt_03,Understanding Reproductive Health Factors,stable,"Brainstorm what students already know about fertility, menopause, and lifestyle factors affecting reproductive health; Discuss what makes a good explanation versus a poor explanation of these concepts; Sort student examples of explanations into quality levels from weakest to strongest; Refine level descriptions based on student input and add specific criteria for each level",What do you think makes an explanation of reproductive health clear and complete?; How would you know if someone really understands how lifestyle affects fertility and menopause?; What would be missing from a weak explanation versus a strong one?,"Choose student explanations that show clear differences in accuracy, completeness, and depth of understanding about fertility, menopause, and lifestyle connections.",I have not yet attempted to explain reproductive health factors,I can identify some fertility or menopause concepts with help but my explanations need work,I can explain basic fertility and menopause concepts but need to add more about lifestyle impacts,"I can explain fertility, menopause, and how lifestyle factors impact reproductive health accurately and completely",I can connect reproductive health factors to broader health outcomes and prevention strategies,"Can I explain all three areas: fertility, menopause, and lifestyle impacts clearly?; Are my explanations accurate and detailed enough for someone else to understand?",Provide basic definitions and examples of fertility and menopause; Use visual aids or diagrams to introduce reproductive health concepts,Check understanding of key terms and correct misconceptions; Provide guided practice with accurate explanations,Focus on adding lifestyle factors and their specific impacts on reproductive health; Use examples to show connections between lifestyle choices and reproductive outcomes,Challenge to explore broader health connections and prevention strategies; Encourage analysis of how reproductive health fits into overall wellness
